a	에이
template	템플릿
Temple	템플
Temple City	템플시티
Temple Hill	템플 힐
Temple Terrace	템플 테라스
Templeton	템플턴
Templeville	탬플빌
ten	텐
Ten Broeck	텐 브록
Ten Sleep	텐 슬립
Tenino	테니노
Tennant	테넌트
Tennessee	테네시
Tennessee City	테네시 시티
Tenney	테니
Tennille	테닐
tennis	테니스
Tennyson	테니슨
Tensas Parish	텐자스 패리시
Tensaw	텐소
Tensed	텐스트
tensor	텐서
TensorFlow	텐서플로우
Tenstrike	텐스트라이크
tent	텐트
terabit	테라비트
terbium	테르븀
Teresita	테레시타
terminal	터미널
Terminal City	터미널 시티
Termo	터모
Terra Linda	테라 린다
Terrace	테라스
Terre Haute	테러호트
Terrebonne Parish	테레본 패리시
Terrell	테럴
Terrell County	테럴 카운티
Terril	테릴
terror	테러
terrorism	테러리즘
Terry	테리
Terry County	테리 카운티
Tesla	테슬라
TeslaUnread	테슬라언리드
test	테스트
Test Bed	테스트베드
testosterone	테스토스테론
tethering	테더링
Teton	티턴
Teton County	티턴 카운티
Tetris	테트리스
Tewksbury	턱스베리
Texarkana	텍사카나
Texas	텍사스
Texas City	텍사스시티
Texas County	텍사스 카운티
Texico	텍시코
Texon	텍슨
text	텍스트
Thackeray	새커리
Thackerville	새커빌
Thackery	새커리
Thalia	탈리아
Thames	템스
that	뎃
Thatcher	태처
Thaxton	택스턴
Thayer	세이어
Thayer County	세이어 카운티
Thayne	새인
the	더
The Catlins	캐틀린스
The Colony	더 콜로니
The Dalles	더 댈러스
The Day Before	더데이비포
The Grove	더 그로브
The Lion King	라이온 킹
The Octagon	옥타곤
The Plains	더 플레인즈
The Village	더 빌리지
Theba	테바
Thelma	셀마
Theresa	테레사
Thermal	더말
Thermalito	더말리토
Thermopolis	서모폴리스
these	디즈
Thessaloniki	테살로니키
Thetford-Mines	셋퍼드마인스
Thibodaux	티보도
Thicket	티켓
Thief River Falls	시프 리버 폴스
think	씽크
think tank	싱크탱크
Thira	티라
this	디스
Thomas	토마스
Thomas County	토머스 카운티
Thomastown	토마스타운
Thomasville	토마스빌
Thompson	톰슨
Thompson Creek	톰슨 크리크
Thomson	톰슨
Thor	소어
thorium	토륨
Thorn Hill	손 힐
Thornapple	손애플
Thornberry	손베리
Thornburg	손버그
Thorndale	손데일
Thorndike	손다이크
Thorndon	손던
Thorne Bay	손 베이
Thornfield	손필드
Thornhill	손힐
Thornton	손턴
Thoroughfare	소로우페어
Thorp	소프
Thorsby	토스비
Thousand Oaks	사우전드 오크스
Thrasher Crossroads	스레셔 크로스로드
Thread	스레드
Three Bridges	쓰리 브리지스
Three Rivers	쓰리 리버스
Three Way	쓰리 웨이
thrill	스릴
Throckmorton	스록모턴
Throckmorton County	스록모턴 카운티
thrunet	두루넷
thulium	툴륨
Thunder Bay	선더베이
Thunderbolt	선더볼트
Thurber	서버
Thurman	서먼
Thurston	서스턴
Thurston County	서스턴 카운티
Thyatira	사이어티라
Tibbee	티비
Tibbie	티비
Tiburon	티뷰론
Tice	타이스
ticket	티켓
Ticonderoga	타이콘데로가
Tide	타이드
Tidewater	타이드워터
Tierra del Sol	티에라 델 솔
Tieton	타이턴
Tiff	티프
Tiffany	티파니
Tiffin	티핀
Tift County	티프트 카운티
Tifton	티프턴
Tigard	티가드
Tiger	타이거
Tijuana	티후아나
Tikitiki	티키티키
Tilden	틸든
Tillamook	틸라무크
Tillamook County	틸라무크 카운티
Tillar	틸라
Tillman	틸먼
Tillman County	틸먼 카운티
Tilton	틸턴
Timaru	티마루
Timber Lake	팀버 레이크
Timberville	팀버빌
Timbo	팀보
Timbuctoo	팀벅투
time	타임
Times Beach	타임즈 비치
Times Square	타임스스퀘어
Timken	팀켄
Timmins	티민스
Tincup	틴컵
Tindall	틴돌
Tingley	팅글리
Tinkertown	팅커타운
Tinsley	틴슬리
Tintah	틴타
Tioga	티오가
Tioga County	티오가 카운티
Tionesta	티오네스타
tip	팁
Tiplersville	티플러스빌
Tipp City	팁 시티
Tippah County	티파 카운티
Tippecanoe	티페카누
Tippecanoe County	티페카누 카운티
Tippo	팁포
Tipsaw	팁소
Tipton	팁턴
Tipton County	팁턴 카운티
Tiptop	팁탑
Tira	티라
Tirana	티라나
Tirau	티라우
tire	타이어
Tiruchirappali	티추리라팔리
Tisbury	티스베리
Tisdale	티스데일
Tishomingo County	티쇼밍고 카운티
Tison	타이슨
titanium	티타늄
Titus County	티투스 카운티
Titusville	타이터스빌
Tiverton	티버턴
Tivoli	티볼리
Tizen	타이젠
Tlemcen	틀렘센
tmon	티몬
to go	투고
toast	토스트
Tobias	토비아스
Toccoa	토코아
Tocsin	톡신
today	투데이
Todd County	토드 카운티
Todds Tavern	토즈 테번
todo	투두
Todoist	투두이스트
Together	투게더
Togiak	호지아크
Togo	토고
Tokio	토키오
Tokoroa	토코로아
Toksook Bay	톡숙 베이
Tokushima	도쿠시마
Tokyo	도쿄
Tolchester	톨체스터
Toledo	토레도
Tolland	톨랜드
Tolland County	톨랜드 카운티
TollandRockville	톨랜드
Tolleson	톨레슨
Tollette	톨레트
Tolley	톨리
Tollgate	톨게이트
Tollhouse	톨하우스
Tolo	톨로
Tolstoy	톨스토이
Tolu	톨루
Toluca	톨루카
Tom	톰
Tom Green County	톰 그린 카운티
Tomah	토마
Tomahawk	토마호크
tomato	토마토
Tomball	톰볼
Tombigbee River	톰비그비
Tombstone	툼스톤
Tomcat	톰캣
Tomoka Estates	토모카 에스테이츠
Tompkins	톰킨스
Tompkinsville	톰킨스빌
Toms Brook	톰스 브룩
Toms River	톰스 리버
ton	톤
Tonawanda	토나완다
Tonet	토네트
Toney	토니
Tonganoxie	통가녹시
Tonka Bay	통카 베이
Tonopah	토노파
Tooele	투엘
Tooele County	투엘 카운티
Tool Bar	툴바
Toole County	툴 카운티
Toombs County	툼스 카운티
Toone	툰
Toowoomba	터움바
Topanga	토팡가
Topeka	토피카
topknot	톱놋
Toppers	토퍼스
Topsail Beach	톱세일 비치
Topsfield	탑스필드
Topsham	탑스햄
Topsy	톱시
toronto	토론토
Toronto	토론토
Torrance	토런스
Torrance County	토런스 카운티
torrent	토렌트
Torrent	토렌트
Torreon	토레온
Torrey	토리
Torrington	토링턴
Tortilla Flat	토티야 플랏
toss	토스
Tottori	톳토리
touch	터치
touch pad	터치패드
touch screen	터치스크린
touchwood	터치우드
Toulon	툴롱
tour	투어
Toutle	터틀
Towaco	토와코
Towanda	토완다
tower	타워
Tower	타워
Tower City	타워 시티
Town and Country	타운 앤 컨트리
Town of Newburgh	타운 오브 뉴버
Towner	타우너
Towner County	타우너 카운티
Townley	타운리
Towns County	타운스 카운티
Townsend	타운센드
Townshend	타운센드
Townsville	타운즈빌
Towson	토슨
Toxey	톡시
Toyah	토야
Toyama	토야마
Trabuco Canyon	트라부코 캐년
Trabzon	트라브존
trackball	트랙볼
tractor	트랙터
Tractor	트랙터
Tracy	트레이시
Traders Hill	트레이더스 힐
Tradersville	트레이더스빌
Trafalgar	트라팰가
traffic	트래픽
Trafford	트래퍼드
Trail	트레일
trailer	트레일러
Traill County	트레일 카운티
training	트레이닝
Tralee	트랠리
Tranquil	트랜퀼
Trans Caspian	트란스카스피안
transistor	트랜지스터
Transistor-Transistor Logic	트랜지스터 트랜지스터 로직
translator	트랜슬레이터
transmitter	도란스
Transylvania	트란실바니아
Transylvania County	트랜실베니아 카운티
Trapp	트랩
Trappe	트랩
trash	트래쉬
travel	트래블
Travelers Rest	트레블러스 레스트
traveline	트래블라인
Traverse	트래블스
Traverse City	트래버스시티
Traverse County	트래버스 카운티
Travis	트래비스
Travis County	트래비스 카운티
Travisville	트레비스빌
Treadway	트레드웨이
Treasure County	트레저 카운티
Treasure Island	트레저아일랜드
Treaty	트리티
tree	트리
Treece	트리스
Trego	트레고
Trego County	트레고 카운티
trello	트렐로
Treloar	트렐로아
Tremont	트레몬트
Tremonton	트레몬턴
trend	트렌드
Trent	트렌트
Trenton	트렌턴
Tres Pinos	트레스 피노스
Treutlen County	트루틀렌 카운티
Trevor	트레버
Treynor	트레이너
Triadelphia	트라이델피아
trial	트라이얼
Triana	트리아나
Triangle	트라이앵글
Tribbey	트리비
Tribune	트리뷴
Trieste	트리에스테
Trigg County	트리그 카운티
trigger	트리거
Trilacoochee	트릴라쿠치
Trilby	트릴비
Trimble	트림블
Trimble County	트림블 카운티
Trinidad	트리니다드
Trinity	트리니티
Trinity Center	트리니티 센터
Trinity County	트리니티 카운티
Trinway	트린웨이
Trion	트라이언
Triplett	트라이플레트
Tripp	트립
Tripp County	트립 카운티
Triumph	트라이엄프
Trona	트로나
Trondheim	트론하임
Tropic	트로픽
Trosky	트로스키
Trotwood	트로트우드
Troup	트룹
Troup County	트루프 카운티
Troupsburg	트룹스버그
Trousdale	트라우스데일
Trousdale County	트라우스데일 카운티
Trout	트라우트
Trout Lake	트라우트레이크
Troutdale	트라우트데일
Troutman	트라우트맨
Trowbridge	트로우브리지
Troy	트로이
truck	트럭
Truckee	트러키
Trudie	트루디
True	트루
true color	트루컬러
Truesdale	트루스데일
truetype	트루타입
Truman	트루먼
Trumann	트루먼
Trumbull	트럼불
Trumbull County	트럼불 카운티
trunk	트렁크
Truro	트루로
Trussville	트러스빌
trust	트러스트
Truth or Consequences	트루스오어컨시퀀시스
Truxton	트럭스턴
try	트라이
Tryon	트라이언
Tualatin	투알라틴
Tucke	터크
Tucker County	터커 카운티
Tuckerman	터커맨
Tucson	투싼
Tucumcari	투컴카리
Tukwila	투퀼라
Tulare	툴레어
Tulare County	툴레어 카운티
Tulelake	툴레이크
tulip	튜리프
Tull	툴
Tullahoma	털러호마
Tully	툴리
Tulsa	툴사
Tulsa County	털사 카운티
Tumon Bay	투몬만
Tumon Beach	투몬 비치
Tumtum	텀텀
Tumwater	텀워터
Tunas	튜너스
Tunbridge	턴브리지
tungsten	텅스텐
Tunica	튜니카
Tunica County	튜니카 카운티
Tunis	튀니즈
Tunisia	튜니지아
tunnel	터널
Tunnel City	터널 시티
Tuolumne County	투올러미 카운티
Tupelo	투펠로
Tupper Lake	터퍼 레이크
Turin	튜린
Turing test	튜링 테스트
Turkey	터키
Turkey Creek	터키 크리크
Turkeytown	터키타운
Turkmenistan	투르크메니스탄
Turlock	털록
Turner	터너
Turner County	터너 카운티
Turner Hill	터너 힐
Turner Valley	터너밸리
Turners	터너스
Turpin	터핀
Turrell	터렐
Turret	튜렛
Turtle	터틀
Turtle Cove	터틀 코브
Turtle Creek	터틀 크리크
Turtle Lake	터틀 레이크
Turtle River	터틀 리버
Turtle Rock	터틀 록
Turuturu-mokai Pa	투루투루 모카이 파
Tuscaloosa	터스컬루사
Tuscaloosa County	터스컬루사 카운티
Tuscarawas County	투스카라와스 카운티
Tuscarora	투스카로라
Tuscola	터스콜라
Tuscola County	터스콜라 카운티
Tusculum	터스컬럼
Tuscumbia	터스컴비아
Tuskegee	터스키기
Tusten	튜스턴
Tustin	터스틴
Tuthill	투트힐
Tutor Key	튜터 키
Tuttle	터틀
Tuxedo	턱시도
tv	티비
TV	티브이
Twentynine Palms	트웬티나인 팜스
Twig	트윅
Twiggs County	트윅스 카운티
Twilight	트왈라이트
Twin Beach	트윈 비치
Twin Bridges	트윈 브리지스
Twin City	트윈 시티
Twin Falls	트윈폴스
Twin Falls County	트윈 폴스 카운티
Twin Lakes	트윈 레이크스
Twin Peaks	트윈 픽스
Twin Valley	트윈 밸리
Twinsburg	트윈스버그
Twisp	트위스프
twist	트위스트
twitter	트위터
Twitty	트위티
Twizel	트와이젤
two	투
Two Buttes	투 뷰츠
Two Creeks	투 크릭스
Two Dot	투 도트
Two Harbors	투 하버스
Two Lover's Point	연인의 절벽
Two Rivers	투 리버스
Two Rock	투 록
Two Run	투 런
Ty Ty	타이 타이
Tyaskin	탸스킨
Tybee Island	타이비 아일랜드
Tyler	테일러
Tyler County	타일러 카운티
Tylersville	타일러스빌
Tyndall	틴들
Tyner	타이너
Tyngsborough	팅스버러
type	타입
typhus	티푸스
Tyre	타이어
Tyro	타이로
Tyrone	타이론
Tyrrell County	티렐 카운티
u	유
Ube	우베
uber	우버
Uber	우버
Ubiquitous	유비쿼터스
Ucon	유콘
Udell	어델
UFC	유에프씨
ufo	유에프오
Uganda	우간다
Uintah	윈타
Uintah County	윈타 카운티
Ukiah	유키아
Ukraine	우크라이나
Ula	울라
Ulaanbaatar	울란바타르
Ulah	울라
Ulm	울름
Ulman	울먼
Ulster	얼스터
Ultra	울트라
Ulysses	율리시스
Umatac	우마탁
Umatilla	우마틸라
Umatilla County	우마틸라 카운티
Umiat	우미아트
Umpqua	엄프콰
Umtata	음타타
UN	유엔
Una	우나
Unadilla	우나딜라
Unalakleet	우날라클리트
Unalaska	우날래스카
unbind	언바인드
Uncertain	언서턴
undead	언데드
under	언더
Undercover	언더커버
Underhill	언더힐
underlying	언더라잉
Underwood	언더우드
Uneeda	유니다
UNESCO	유네스코
Unger	웅거
unhappy	언해피
unicast	유니캐스트
UNICEF	유니세프
unicode	유니코드
Unicode	유니코드
Unicoi County	유니코이 카운티
unicorn	유니콘
uniform	유니폼
uninstall	언인스톨
union	유니언
Union	유니언
Union Bridge	유니언 브리지
Union City	유니언시티
Union County	유니언 카운티
Union Cross	유니언 크로스
Union Parish	유니언 패리시
Union Springs	유니언 스프링스
Union Star	유니언 스타
Uniondale	유니언데일
Uniontown	유니언타운
Unionville	유니언빌
unit	유닛
unit house	유닛 하우스
Unitel networks	유니텔네트웍스
unity	유니티
Unity	유니티
UNIVAC	유니박
Universal	유니버설
Universal City	유니버셜 시티
universe	유니버스
University	유니버시티
University City	유니버시티 시티
University Heights	유니버시티 하이츠
University Park	유니버시티파크
University Place	유니버시티 플레이스
Unix	유닉스
unknown	언노운
Uno	우노
up	업
up-sizing	업사이징
update	업데이트
upgrade	업그레이드
Upham	업햄
Upkorea	업코리아
Upland	업랜드
upload	업로드
Upper Arlington	어퍼 알링턴
Upper Hutt	어퍼허트
Upper Marlboro	어퍼 말보로
Upper Sandusky	어퍼 샌더스키
Upper Tract	어퍼 트랙트
Upsala	업살라
Upshur County	업셔 카운티
Upson	업슨
Upson County	업슨 카운티
Upton	업턴
Upton County	업턴 카운티
Uralsk	우랄스크
uranium	우라늄
Urbana	어배너
Urbandale	어번데일
Urbank	어뱅크
Urbanna	우바나
Uriah	유라이어
Urich	유리치
Uruguay	우루과이
Ury	유라이
Used	유즈드
Usenet	유즈넷
Usenet News	유즈넷 뉴스
user	유저
user interface	유저인터페이스
useware	유즈웨어
Usher	어셔
using	유징
Usk	우스크
Utah	유타
Utah County	유타 카운티
Ute	유트
Utica	유티카
util	유틸
Utility Computing	유틸리티 컴퓨팅
utility program	유틸리티프로그램
Utopia	유토피아
Utopian	유토피안
Uvalde County	유밸디 카운티
Uxbridge	어즈브리지
Uzbekistan	우즈베키스탄
v	브이
Vaasa	바사
vacance	바캉스
Vacation Beach	베케이션 비치
Vacaville	배커빌
vaccine	백신
Vader	베이더
Vadis	배디스
Vail	배일
Val Verde County	발베르데 카운티
Valdese	발데즈
Valdez	밸디즈
Valdez-Cordova Census Area	발데즈-코르도바 인구조사구역
Valdosta	발도스타
Valencia	발렌시아
Valencia County	발렌시아 카운티
Valentine	밸런타인
Valentine Day	발렌타인 데이
Valeria	발레리아
Valier	발리어
Valle	발리
Valle Crucis	볼 크루시스
Vallejo	발레이오
Valles de San Geronimo	발레스 드 산 제로니모
Valley	밸리
Valley Center	밸리 센터
Valley City	밸리 시티
Valley County	밸리 카운티
Valley Creek	벨리 크릭
Valley Ford	밸리 포드
Valley Fork	밸리 포크
Valley Head	밸리 헤드
Valley Hill	밸리 힐
Valley Home	밸리 홈
Valley Oak	밸리 오크
Valley of Enchantment	밸리 오브 인챈트먼트
Valley Park	밸리 파크
Valley View	밸리 뷰
Valliant	밸리언트
Vallscreek	볼스크리크
Valmy	발미
Valona	밸로나
Valparaiso	발파레이소
Value	벨류
valve	벨브
Valyermo	밸리어모
vampire	뱀파이어
Van	밴
Van Buren	밴 뷰런
Van Buren County	밴 뷰런 카운티
Van Dyne	밴 다인
Van Horn	반 혼
Van Horne	밴 호른
Van Houten	밴 휴튼
Van Meter	밴 미터
Van Nuys	반 누이스
Van Wert	밴 버트
Van Wert County	밴 버트 카운티
Van Zandt County	반젠트 카운티
vanadium	바나듐
Vance	밴스
Vance County	밴스 카운티
Vance Creek	밴스 크리크
Vancleve	밴클리브
Vancourt	밴코트
Vancouver	밴쿠버
Vandalia	벤댈리아
vandalism	반달리즘
Vandemere	밴디미어
Vandenbroek	밴든브로크
Vanderburgh County	밴더버그 카운티
Vanderpool	반더풀
Vandervoort	밴더부트
Vangale	벤게일
vanilla	바닐라
Varadero	바라데로
Varanasi	바라나시
Varick	바릭
variety	버라이어티
Varnamtown	바냄타운
Varnell	바넬
Varney	바니
Vaselin	와셀린
vaseline	바셀린
Vashti	배시티
Vass	배스
Vassar	바사르
vatican	바티칸
Vaucluse	보클뤼즈
Vaughan	보건
Vaughn	본
Veblen	베블런
veil	베일
Velma	벨마
Velva	벨바
Venada	베나다
Venango County	베낭고 카운티
Venator	베나토르
vending machine	벤딩머신
Vendor	벤더
veneer	베니어
Veneta	베네타
Venezuela	베네수엘라
Venice	베니스
Ventnor City	벤트너 시티
Ventucopa	벤투코파
Ventura	벤투라
Ventura County	벤투라 카운티
venture	벤처
Venturia	벤추리아
Venus	비너스
Vera	베라
Vera Cruz	베라 크루스
veranda	베란다
Verbena	베르베나
Verde Lee	벌디 리
Verden	버든
Verdie	버디
Verdun	베르됭
Vergas	버가스
Vergennes	버겐스
Veribest	베리베스트
Vermilion	버밀리언
Vermilion County	버밀리언 카운티
Vermilion Parish	버밀리언 패리시
Vermillion	버밀리언
Vermillion County	버밀리언 카운티
Vermont	버몬트
Verna	베르나
Vernal	버널
Vernalis	버넬리스
Vernon	버넌
Vernon County	버넌 카운티
Vernon Parish	버넌 패리시
Vernonia	베르노니아
Vero Beach	베로비치
Vero Lake Estates	베로 레이크 에스테이츠
Verona	베로나
Versailles	버세일즈
Vershire	버셔
version	버전
Vest	베스트
Vestal	베스털
Vestavia Hills	워리어
veteran	베테랑
Veyo	베요
Vian	비언
Viburnum	바이버넘
Vicco	빅코
Vichy Springs	빈치 스프링스
Vici	비치
Vick	비크
Vickery	비커리
Vicksburg	빅스버그
Victor	빅터
Victoria	빅토리아
Victoria County	빅토리아 카운티
Victorville	빅터빌
victory	빅토리
Victory	빅토리
Vida	비다
Vidalia	비데일리아
video	비디오
video adapter	비디오 어댑터
video game	비디오게임
video tape	비디오 테이프
Vidette	비데트
Vidor	비더
Vienna	비엔나
Vientiane	비엔티엔
Vietnam	베트남
View	뷰
viewer	뷰어
Vigo County	비고 카운티
Viking	바이킹
Vilas	빌라스
villa	빌라
Villa Grande	빌라 그란데
Villa Hills	빌라 힐스
Villa Nova	빌라 노바
Villa Park	빌라 파크
Villa Rica	빌라 리카
village	빌리지
Village	빌리지
Village of Indian Hill	빌리지 오브 인디언 힐
Villahermosa	비야에르모사
Villanova	빌라노바
Villanueva	빌라누에바
Villard	빌라드
Villisca	빌리스카
Vilnius	빌니우스
Vilonia	빌로니아
Vina	비나
Vinalhaven	바이널헤이븐
Vincennes	빈세네스
Vincent	빈센트
Vine Grove	바인 그로브
Vineburg	바인버그
Vinegar Bend	비네거 밴드
Vineland	바인랜드
Vineyard	바인야드
Vining	비닝
Vinita	비니타
Vinland	빈랜드
Vinson	빈슨
vintage	빈티지
Vinton	빈턴
Vinton County	빈턴 카운티
vinyl	비닐
vinyl house	비닐 하우스
viola	비올라
Viola	바이올라
Violet	바이올렛
violin	바이올린
violinist	바이올리니스트
Virden	버든
Virgie	버지
Virgil	버질
virgin	버진
Virgin	버진
Virginia	버지니아
Virginia Beach	버지니아비치
Virginia City	버지니아시티
Virginia Dale	버지니아 데일
Virginia Hills	버지니아 힐스
Virginia Village	버지니아 빌리지
Viroqua	비로콰
Virts Corner	버츠 코너
virus	바이러스
virus marketing	바이러스마케팅
visa	비자
Visalia	비살리아
Vishakhapatanam	비샤카파트남
vision	비전
Vista	비스타
Vista Lakes	비스타레이크스
Vistula	비스툴라
visual	비주얼
visual basic	비주얼 베이직
visual programming tool	비주얼프로그래밍툴
visual show	비주얼쇼
vitamine	비타민
Vitoria	비토리아
Vivian	비비안
Vladivostok	블라디보스톡
Voca	보카
vocal	보컬
vodka	워드카
vogue	보그
Volcano	볼케이노
Volga	볼가
Volin	볼린
Volney	볼니
Voltaire	볼테어
voltmeter	볼트미터
volume	볼륨
Volunteer	발룬티어
Volusia	볼루시아
Volusia County	볼루시아 카운티
Von Ormy	본 아미
Vona	보나
Votaw	보토
Vredenburgh	브레덴버그
Vulcan	벌칸
w	더블유
Wabash	워배시
Wabash County	워배시 카운티
Wabasha	와바샤
Wabasha County	와바샤 카운티
Wabaunsee County	와바운시 카운티
Wabeno	와비노
Wabun	워번
Wabush	와부시
Wacissa	와시사
Waco	와코
Waconia	와코니아
Waddell	워델
Wade	웨이드
Wade Hampton Census Area	웨이드 햄프턴 인구조사구역
Wadena County	와데나 카운티
Wadsworth	워즈워스
Waelder	웰더
waffle	와플
wag	왜그
wage	웨이지
Wagga Wagga	와가와가
Wagner	와그너
Wagon Branch	웨이건 브랜치
Wagon Wheel Gap	웨건 휠 갭
Wagoner	와고너
Wagoner County	웨거너 카운티
Wagram	워그램
Waha	와하
Wahkiakum County	워키아컴 카운티
Wahoo	와후
Wahpeton	와페턴
Waihi	와이히
Waikato	와이카토
Wailuku	와일루쿠
Waimarama	와이마라마
Waimate	와이마테
Wainwright	웨인라이트
Wairarapa	와이라라파
Wairoa	와이로아
waist	웨어스트
Waitakere	와이타케레
Waitangi	와이탕기
Waitara	와이타라
Waite	웨이트
waiter	웨이터
Waitomo District	와이토모
waitress	웨이트리스
Waiuku	와이우쿠
WAJIMA	와지마
Wakatomika	와카토미카
Wake County	웨이크 카운티
Wake Forest	웨이크 포레스트
WaKeeney	와키니
Wakefield	웨이크필드
Wakita	와키타
Wakonda	와콘다
Wakulla	와쿨라
Wakulla County	와쿨라 카운티
Walbo	왈보
Walburg	월버그
Walcott	월코트
Walden	월든
Waldo	왈도
Waldo County	왈도 카운티
Waldo Junction	왈도 정션
Waldoboro	왈도버로
Waldorf	월도프
Waldport	월드포트
Waldron	월드런
Waldwick	월드윅
Wales	웨일스
Walhalla	월할라
Walker	워커
Walker County	워커 카운티
Walker Lake	워커 레이크
Walkersville	워커스빌
Walkerton	워커턴
Walkerville	워커빌
walking	워킹
walkingrace	워킹 레이스
Walla Walla	왈라 왈라
Walla Walla County	왈라왈라 카운티
Wallace	월러스
Wallace County	월리스 카운티
Walland	월랜드
Wallback	월백
Wallburg	월스버그
Walled Lake	월러드 레이크
Waller County	월러 카운티
wallet	월렛
Wallingford	월링포드
Wallis	월리스
Wallkill	월킬
Wallonia	왈로니아
Wallowa	왈로와
Wallowa County	왈로와 카운티
Walnut	월넛
Walnut Creek	월넛크리크
Walnut Grove	월넛 그로브
Walnut Hill	월넛 힐
Walpole	월폴
Walsh	월시
Walsh County	월시 카운티
Walter	월터
Walters	월터스
Walthall County	월트홀 카운티
Waltham	월섬
Walton	월턴
Walton County	월턴 카운티
waltz	왈츠
Walworth	월워스
Walworth County	월워스 카운티
Wamego	와미고
Wamsutter	웜서터
Wana	와나
Wanaka	와나카
Wanatah	와나타
Wanda	완다
wander	완더
Wanganui	왕거누이
Wanlock	완록
Wann	완
want	원트
wanted	원티드
Wapakoneta	와파코네타
Wapello County	와펠로 카운티
Wapiti	와피티
Wappapello	왑파펠로
war	워
War	워
War Eagle	워 이글
Warba	와바
warcraft	워크래프트
Warcraft	워크래프트
Ward	워드
Ward County	워드 카운티
Warden	워든
Ware	웨어
Ware County	웨어 카운티
Wareham	웨어햄
Wares Wharf	와레즈 워프
warez	와레즈
Warfield	워필드
Waring	워링
Warkworth	워크워스
warm color	웜 칼라
Warm River	웜 리버
Warm Springs	웜 스프링스
Warman	워먼
warming up	워밍 업
Warne	원
Warner	워너
Warner Robins	워너 로빈스
Warner Springs	워너 스프링스
Warnock	워노크
Warren	워런
Warren County	워런 카운티
Warren Park	워렌 파크
Warrensburg	워렌스버그
Warrensville Heights	워렌스빌 하이츠
Warrenville	워런빌
Warrick County	워릭 카운티
Warrior	워리어
Warroad	워로드
Warsaw	바르샤바
Warson Woods	워슨 우즈
Wartburg	와트버그
Warthen	워덴
Warwick	워릭
Warwood	워우드
Wasatch County	워새치 카운티
Wasco	와스코
Wasco County	와스코 카운티
Waseca	와세카
Waseca County	와세카 카운티
wash	워시
wash-and-wear	워시앤드웨어
Washburn	워시번
Washington	워싱턴
Washington County	워싱턴 카운티
Washington Court House	워싱턴 코트 하우스
Washington Grove	워싱턴 그로브
Washington Heights	워싱턴 하이츠
Washington Parish	워싱턴 패리시
Washington Park	워싱턴 파크
Washington-on-the-Brazos	워싱턴-온-더-브라조스
Washita County	워시토 카운티
Washoe County	와슈 카운티
Washougal	워쇼걸
washstand	워시스탠드
Washta	와시타
Washtenaw County	워시트노 카운티
Washtucna	워시터크나
Wasilla	와실라
Wasola	와솔라
Wasson	와슨
Wasta	와스타
Watauga County	와토가 카운티
watch	워치
water	워터
water color	워터 칼라
water gauge	워터게이지
Water Valley	워터 밸리
waterbuck	워터벅
Waterbury	워터베리
Waterfall	워터폴
Waterford	워터포드
Waterford Mills	워터포드 밀스
Waterlily	워터릴리
Waterloo	워털루
watermark	워터마크
waterproof	워터프루프
Waterproof	워터프루프
Watertown	워터타운
Waterview	워터뷰
Waterville	워터빌
Waterville Valley	워터빌 밸리
Watervliet	워터블리트
Watford City	왓포드 시티
Watha	와사
Watkins	왓킨스
Watkins Glen	왓킨스 글렌
Watkinsville	왓킨스빌
Watonwan County	와토놘 카운티
Watseka	왓세카
Watson	왓슨
Watson Lake	왓슨레이크
Watsonville	왓슨빌
Wattenburg	워튼버그
Watterson Park	워터슨 파크
Watts	와츠
Wattsville	와츠빌
Wauchula	와우쿨라
Wauconda	워콘다
Waugh	와프
Waukau	워코
Waukee	워키
Waukegan	와키건
Waukesha	워케샤
Waukomis	와코미스
Waukon	와우콘
Waupaca	워파카
Waupun	오펀
Wausau	와우사
Wauseon	오선
Wauwatosa	워와토사
wave	웨이브
Waveland	웨이브랜드
Waverly	웨이벌리
Waves	웨이브즈
Wawayanda	워웨이얀다
Wawona	와워나
Waxahachie	왁사해치
Waxhaw	왁스호
way	웨이
Waycross	웨이크로스
Wayland	웨일랜드
Wayne	웨인
Wayne County	웨인 카운티
Waynesboro	웨인스버러
Waynesburg	웨인즈버그
Waynesville	웨인즈빌
Waysons Corner	웨이슨스 코너
Wayzata	웨이자타
WC	더블유 씨
Weakley County	위클리 카운티
wear	웨어
Weare	위어
Weatherby	웨더비
Weatherford	웨더포드
Weathers	웨더스
Weave	위브
Weaver	위버
Weaverville	위버빌
web	웹
web animation	웹애니메이션
Web Casting	웹캐스팅
web hosting	웹호스팅
web jockey	웹자키
web server	웹서버
web site	웹사이트
Webaholic	웹홀릭
Webb	웹
Webb City	웹 시티
Webb County	웹 카운티
WebBench	웹벤치
Webber	웨버
Webbtown	웹타운
Webcam Service	웹캠서비스
Weber	위버
Weber County	웨버 카운티
webhard	웹하드
WebPad	웹패드
website	웹사이트
Webster	웹스터
Webster City	웹스터 시티
Webster County	웹스터 카운티
Webster Parish	웹스터 패리시
Webster's	웹스터즈
Webtop Service	웹탑서비스
wedding	웨딩
wedding march	웨딩 마치
wedding veil	웨딩베일
wedding-dress	웨딩 드레스
wedding-ring	웨딩링
Weddington	웨딩턴
Wedowee	웨도위
Weed	위드
Weeds Point	위즈 포인트
Weeki Wachee	위키와치
Weeksboro	윅스버러
Weems	윔즈
Wego	위고
weight	웨어트
