a	에이	ei
Stockbridge	스톡브리지	sɯtʰokp͈ɯlid͡ɕi
Stockdaily	스탁데일리	sɯtʰakt͈eilli
Stockdale	스톡데일	sɯtʰokt͈eil
Stockholm	스톡홀름	sɯtʰokʰollɯm
stocking	스타킹	sɯtʰakʰiŋ
Stockport	스톡포트	sɯtʰokpʰotʰɯ
stocks	스톡	sɯtʰok
Stockton	스톡턴	sɯtʰoktʰʌn
Stockwell	스톡웰	sɯtʰogwel
Stoddard	스토다드	sɯtʰodadɯ
Stokes	스톡스	sɯtʰoks͈ɯ
Stoneburg	스톤버그	sɯtʰonbʌgɯ
Stoneville	스톤빌	sɯtʰonbil
Stonewall	스톤월	sɯtʰonwʌl
Stonewood	스톤우드	sɯtʰonudɯ
Stoney	스토니	sɯtʰoni
Stonington	스토닝턴	sɯtʰoniŋtʰʌn
stop	스톱	sɯtʰop
Stopover	스탑오버	sɯtʰabobʌ
storage	스토리지	sɯtʰolid͡ɕi
store	스토어	sɯtʰoʌ
story	스토리	sɯtʰoli
Story	스토리	sɯtʰoli
Stoughton	스토턴	sɯtʰotʰʌn
Stout	스타우트	sɯtʰautʰɯ
Stovall	스토벌	sɯtʰobʌl
Stover	스토버	sɯtʰobʌ
Stow	스토우	sɯtʰou
Stowe	스토위	sɯtʰowi
Strafford	스트래퍼드	sɯtʰɯlɛpʰʌdɯ
Strandquist	스탠드퀴스트	sɯtʰɛndɯkʰwisɯtʰɯ
Strang	스트랭	sɯtʰɯlɛŋ
Strasburg	스트라스버그	sɯtʰɯlasɯbʌgɯ
Stratford	스트랫퍼드	sɯtʰɯlɛtpʰʌdɯ
Stratham	스트래샘	sɯtʰɯlɛsɛm
Strathcona	스트래스코나	sɯtʰɯlɛsɯkʰona
Stratton	스트래턴	sɯtʰɯlɛtʰʌn
straw	스트로	sɯtʰɯlo
Strawberry	스트로베리	sɯtʰɯlobeli
Strayhorn	스트레이혼	sɯtʰɯleihon
streaming	스트리밍	sɯtʰɯlimiŋ
Streator	스트리터	sɯtʰɯlitʰʌ
Street	스트리트	sɯtʰɯlitʰɯ
Streeter	스트리터	sɯtʰɯlitʰʌ
Streetsboro	스트리츠버러	sɯtʰɯlit͡ɕʰɯbʌlʌ
stress	스트레스	sɯtʰɯlesɯ
Strickland	스트릭랜드	sɯtʰɯliŋnɛndɯ
Stringer	스트링어	sɯtʰɯliŋʌ
Stroh	스트로	sɯtʰɯlo
Strong	스트롱	sɯtʰɯloŋ
Stronghold	스트롱홀드	sɯtʰɯloŋholdɯ
Strongsville	스트롱스빌	sɯtʰɯloŋs͈ɯbil
Stroud	스트라우드	sɯtʰɯlaudɯ
Stroudsburg	스트라우즈버그	sɯtʰɯlaud͡ɕɯbʌgɯ
Struble	스트루블	sɯtʰɯlubɯl
Struthers	스트러서스	sɯtʰɯlʌsʌsɯ
Stuart	스튜어트	sɯtʰjuʌtʰɯ
stub	스텁	sɯtʰʌp
Stuckey	스터키	sɯtʰʌkʰi
studio	스튜디오	sɯtʰjudio
study	스터디	sɯtʰʌdi
Stull	스털	sɯtʰʌl
Stumptown	스텀프타운	sɯtʰʌmpʰɯtʰaun
Sturbridge	스터브리지	sɯtʰʌbɯlid͡ɕi
Sturdivant	스터디번트	sɯtʰʌdibʌntʰɯ
Sturgeon	스터전	sɯtʰʌd͡ɕʌn
Sturgis	스터지스	sɯtʰʌd͡ɕisɯ
Stuttgart	슈트트가르트	sjutʰɯtʰɯgalɯtʰɯ
Stuyvesant	스튜이버선트	sɯtʰjuibʌsʌntʰɯ
style	스타일	sɯtʰail
styleshare	스타일쉐어	sɯtʰails͈weʌ
stylus	스타일러스	sɯtʰaillʌsɯ
Subiaco	수비아코	subiakʰo
Sublett	서블렛	sʌbɯllet
Sublette	서블렛	sʌbɯllet
subnet	서브넷	sʌbɯnet
subroutine	서브루틴	sʌbɯlutʰin
subway	서브웨이	sʌbɯwei
Success	석세스	sʌks͈esɯ
Sudan	수단	sudan
Sudbury	서드베리	sʌdɯbeli
Sudith	수디스	sudisɯ
Sudley	서들리	sʌdɯlli
Suffield	서프필드	sʌpʰɯpʰildɯ
Sugarloaf	슈가로프	sjugalopʰɯ
Sugartown	슈가타운	sjugatʰaun
Sugden	석든	sʌkt͈ɯn
suit	수트	sutʰɯ
Sullivan	설리번	sʌllibʌn
Sully	설리	sʌlli
Sulphur	설퍼	sʌlpʰʌ
Sultan	술탄	sultʰan
sumac	수마크	sumakʰɯ
Sumas	수마스	sumasɯ
Sumatra	수마트라	sumatʰɯla
summer	서머	sʌmʌ
Summerdale	서머데일	sʌmʌdeil
Summerfield	섬머필드	sʌmmʌpʰildɯ
Summerford	섬머포드	sʌmmʌpʰodɯ
Summers	서머스	sʌmʌsɯ
Summerset	서머싯	sʌmʌsit
Summersville	섬머스빌	sʌmmʌsɯbil
Summertown	서머타운	sʌmʌtʰaun
Summerville	섬머빌	sʌmmʌbil
Summit	서미트	sʌmitʰɯ
Summitville	서밋빌	sʌmitp͈il
Summum	섬멈	sʌmmʌm
Sumner	섬너	sʌmnʌ
Sumterville	섬터빌	sʌmtʰʌbil
sun	선	sʌn
Sunapee	서나피	sʌnapʰi
Sunburst	선버스트	sʌnbʌsɯtʰɯ
Sunbury	선버리	sʌnbʌli
Suncadia	선카디아	sʌnkʰadia
Suncrest	선크레스트	sʌnkʰɯlesɯtʰɯ
Sundance	선댄스	sʌndɛns͈ɯ
Sunderland	선덜랜드	sʌndʌllɛndɯ
Sundown	선다운	sʌndaun
Sunfish	선피쉬	sʌnpʰiswi
Sunflower	선플라워	sʌnpʰɯllawʌ
sunglass	선글라스	sʌngɯllasɯ
sunglasses	선글라스	sʌngɯllasɯ
Sungwoo	성우	sʌŋu
Sunman	선맨	sʌnmɛn
Sunnydale	서니데일	sʌnideil
Sunnyside	서니사이드	sʌnisaidɯ
Sunnyvale	서니베일	sʌnibeil
Sunray	선레이	sʌllei
sunrise	선라이즈	sʌllaid͡ɕɯ
Sunrise	선라이즈	sʌllaid͡ɕɯ
Sunriver	선리버	sʌllibʌ
Sunset	선셋	sʌns͈et
Suntex	선텍스	sʌntʰeks͈ɯ
super	슈퍼	sjupʰʌ
Superior	슈피리어	sjupʰiliʌ
superman	슈퍼맨	sjupʰʌmɛn
Superman	슈퍼맨	sjupʰʌmɛn
supermarket	슈퍼마켓	sjupʰʌmakʰet
superscalar	슈퍼스칼라	sjupʰʌsɯkʰalla
superspecial	슈퍼스페설	sjupʰʌsɯpʰesʌl
supervisor	슈퍼바이저	sjupʰʌbaid͡ɕʌ
Supply	서플라이	sʌpʰɯllai
Surabaya	수라바야	sulabaja
surfing	서핑	sʌpʰiŋ
Surfside	서프사이드	sʌpʰɯsaidɯ
Surgoinsville	서고인스빌	sʌgoins͈ɯbil
Surprise	서프라이즈	sʌpʰɯlaid͡ɕɯ
Surrency	서런시	sʌlʌns͈i
Surrey	서리	sʌli
Surry	서리	sʌli
survival	서바이벌	sʌbaibʌl
Sussex	서식스	sʌsiks͈ɯ
Sutherland	서덜랜드	sʌdʌllɛndɯ
Sutphen	섯븐	sʌtp͈ɯn
Sutter	서터	sʌtʰʌ
Suttle	수틀	sutʰɯl
Sutton	서턴	sʌtʰʌn
Suwanee	스와니	sɯwani
Suwannee	스와니	sɯwani
Swainsboro	스웨인스버로	sɯweins͈ɯbʌlo
Swampscott	스왐스컷	sɯwams͈ɯkʰʌt
Swan	스완	sɯwan
Swansboro	스완스버러	sɯwans͈ɯbʌlʌ
Swansea	스완지	sɯwand͡ɕi
Swanton	스완턴	sɯwantʰʌn
Swanwick	스완익	sɯwanik
Swanzey	스완지	sɯwand͡ɕi
Swayzee	스위지	sɯwid͡ɕi
Sweden	스웨덴	sɯweden
Swedesburg	스웨디스버그	sɯwedisɯbʌgɯ
Sweeden	스위든	sɯwidɯn
Sweeny	스위니	sɯwini
sweet	스위트	sɯwitʰɯ
Sweet	스위트워터	sɯwitʰɯwʌtʰʌ
Sweetser	스위처	sɯwit͡ɕʰʌ
Sweetwater	스위트워터	sɯwitʰɯwʌtʰʌ
Swenson	스웬슨	sɯwens͈ɯn
Swift	스위프트	sɯwipʰɯtʰɯ
swimming	스위밍	sɯwimiŋ
swing	스윙	sɯwiŋ
Swiss	스위스	sɯwisɯ
Swisshome	스위스홈	sɯwisɯhom
switch	스위치	sɯwit͡ɕʰi
Switchback	스위치백	sɯwit͡ɕʰibɛk
Switzer	스위쳐	sɯwit͡ɕʰʌ
Switzerland	스위철랜드	sɯwit͡ɕʰʌllɛndɯ
swoln	스월른	sɯwʌllɯn
Sycamore	시카모어	sikʰamoʌ
Sydney	시드니	sidɯni
syjet	사이젯	said͡ɕet
Sykesville	사이크스빌	saikʰɯsɯbil
Sylacauga	실라코가	sillakʰoga
Sylva	실바	silba
Sylvan	실번	silbʌn
Sylvania	실베니아	silbenia
Sylvester	실베스터	silbesɯtʰʌ
Sylvia	실비아	silbia
symbol	심벌	simbʌl
Symco	심코	simkʰo
Symonds	사이먼즈	saimʌnd͡ɕɯ
symposium	심포지움	simpʰod͡ɕium
synagogue	시나고그	sinagogɯ
sync	싱크	siŋkʰɯ
syndrome	신드롬	sindɯlom
synergy	시너지	sinʌd͡ɕi
Syracuse	시라큐스	silakʰjusɯ
Syre	사이어	saiʌ
Syria	시리아	silia
syrup	시럽	silʌp
SYSOP	시솝	sisop
system	시스템	sisɯtʰem
t	티	tʰi
Tabb	태브	tʰɛbɯ
Tabernacle	타버나클	tʰabʌnakʰɯl
table	테이블	tʰeibɯl
Tablet	태블릿	tʰɛbɯllit
Tacoma	터코마	tʰʌkʰoma
Taconite	타코나이트	tʰakʰonaitʰɯ
Tadoussac	타두삭	tʰadusak
Taejoon	태준	tʰɛd͡ɕun
Taft	태프트	tʰɛpʰɯtʰɯ
Tag	태그	tʰɛgɯ
Taggart	태가트	tʰɛgatʰɯ
Tague	태규	tʰɛgju
Tahlequah	탈레콰	tʰallekʰwa
Taichung	타이중	tʰaid͡ɕuŋ
Taif	타이프	tʰaipʰɯ
Taihape	타이하페	tʰaihapʰe
Tainter	테인터	tʰeintʰʌ
Taipei	타이페이	tʰaipʰei
Tajikistan	타지키스탄	tʰad͡ɕikʰisɯtʰan
Takaka	타카카	tʰakʰakʰa
Talala	탈랄라	tʰallalla
Talbot	탤버트	tʰɛlbʌtʰɯ
Talcott	탤컷	tʰɛlkʰʌt
Talent	탤런트	tʰɛllʌntʰɯ
talk	톡	tʰok
Talladega	탈레디가	tʰallediga
Tallahassee	탤러해시	tʰɛllʌhɛsi
Tallassee	탤러시	tʰɛllʌsi
Tallinn	탈린	tʰallin
Tallmadge	톨마지	tʰolmad͡ɕi
Tallulah	탈룰라	tʰallulla
Talmadge	탈매지	tʰalmɛd͡ɕi
Talmage	탤메이즈	tʰɛlmeid͡ɕɯ
Talmo	탈모	tʰalmo
Taloga	탈로가	tʰalloga
Tama	타마	tʰama
Tamaha	타마하	tʰamaha
Tamarac	타마락	tʰamalak
Tamarack	타마락	tʰamalak
Tambo	탬보	tʰɛmbo
Tamina	타미나	tʰamina
Tamora	타모라	tʰamola
Tampa	탬파	tʰɛmpʰa
Tampico	탐피코	tʰampʰikʰo
Tams	탬스	tʰɛms͈ɯ
Tamworth	탬워스	tʰɛmwʌsɯ
Tanana	타나나	tʰanana
Taneytown	태니타운	tʰɛnitʰaun
Tangalooma	탕갈루마	tʰaŋgalluma
Tangent	탠전트	tʰɛnd͡ɕʌntʰɯ
Tangier	탕헤르	tʰaŋhelɯ
tango	탱고	tʰɛŋgo
tank	탱크	tʰɛŋkʰɯ
Tanner	테너	tʰenʌ
Tannery	태너리	tʰɛnʌli
Tanzania	탄자니아	tʰand͡ɕania
Taopi	타오피	tʰaopʰi
Taos	타오스	tʰaosɯ
Tappahannock	태퍼해녹	tʰɛpʰʌhɛnok
Tappen	태픈	tʰɛpʰɯn
Tara	타라	tʰala
Taranaki	타라나키	tʰalanakʰi
Tarboro	타버러	tʰabʌlʌ
Tarkio	타키오	tʰakʰio
tarp	타프	tʰapʰɯ
Tarrant	태런트	tʰɛlʌntʰɯ
Tarrytown	태리타운	tʰɛlitʰaun
Tarsus	타르수스	tʰalɯsusɯ
Tashkent	타쉬켄트	tʰaswikʰentʰɯ
task	태스크	tʰɛsɯkʰɯ
Taswell	태즈월	tʰɛd͡ɕɯwʌl
Tate	테이트	tʰeitʰɯ
Tatums	테이텀스	tʰeitʰʌms͈ɯ
Taunton	톤턴	tʰontʰʌn
Taupo	타우포	tʰaupʰo
Tauranga	타우랑가	tʰaulaŋga
Tavares	타바레스	tʰabalesɯ
Tawau	타와우	tʰawau
Tawawa	타와와	tʰawawa
taxi	택시	tʰɛks͈i
Taycheedah	테이치다	tʰeit͡ɕʰida
Tayloe	테일로	tʰeillo
Taylor	테일러	tʰeillʌ
Taylorsville	테일러스빌	tʰeillʌsɯbil
Taylorville	테일러빌	tʰeillʌbil
Tbilisi	트빌리시	tʰɯbillisi
Teachey	티치	tʰit͡ɕʰi
Teague	티그	tʰigɯ
team	팀	tʰim
Teasdale	티즈데일	tʰid͡ɕɯdeil
Teays	티이스	tʰiisɯ
Tebbetts	테베츠	tʰebet͡ɕʰɯ
Tecate	테카테	tʰekʰatʰe
tech	테크	tʰekʰɯ
technetium	테크네튬	tʰekʰɯnetʰjum
Tecumseh	테컴시	tʰekʰʌms͈i
ted	테드	tʰedɯ
Teddy	테디	tʰedi
Tedrow	테드로	tʰedɯlo
Teer	티어	tʰiʌ
Teeterville	티터빌	tʰitʰʌbil
Tehachapi	테하차피	tʰehat͡ɕʰapʰi
Tehama	테하마	tʰehama
Teheran	테헤란	tʰehelan
Teigen	티건	tʰigʌn
telebanking	텔레뱅킹	tʰellebɛŋkʰiŋ
telegram	텔레그램	tʰellegɯlɛm
Telematics	텔레매틱스	tʰellemɛtʰiks͈ɯ
telephone	텔레폰	tʰellepʰon
Telephone	텔레폰	tʰellepʰon
teleport	텔레포트	tʰellepʰotʰɯ
television	텔레비전	tʰellebid͡ɕʌn
Telford	텔퍼드	tʰelpʰʌdɯ
Tell	텔	tʰel
Teller	텔러	tʰellʌ
Telluride	텔류라이드	tʰelljulaidɯ
Temecula	테메큘라	tʰemekʰjulla
Tempe	템피	tʰempʰi
Temperanceville	템퍼런스빌	tʰempʰʌlʌns͈ɯbil
template	템플릿	tʰempʰɯllit
Temple	템플	tʰempʰɯl
Templeton	템플턴	tʰempʰɯltʰʌn
Templeville	탬플빌	tʰɛmpʰɯlbil
ten	텐	tʰen
Tenino	테니노	tʰenino
Tennant	테넌트	tʰenʌntʰɯ
Tennessee	테네시	tʰenesi
Tenney	테니	tʰeni
Tennille	테닐	tʰenil
tennis	테니스	tʰenisɯ
Tennyson	테니슨	tʰenisɯn
Tensaw	텐소	tʰens͈o
Tensed	텐스트	tʰens͈ɯtʰɯ
tensor	텐서	tʰens͈ʌ
TensorFlow	텐서플로우	tʰens͈ʌpʰɯllou
Tenstrike	텐스트라이크	tʰens͈ɯtʰɯlaikʰɯ
tent	텐트	tʰentʰɯ
terabit	테라비트	tʰelabitʰɯ
terbium	테르븀	tʰelɯbjum
Teresita	테레시타	tʰelesitʰa
terminal	터미널	tʰʌminʌl
Termo	터모	tʰʌmo
Terrace	테라스	tʰelasɯ
Terrell	테럴	tʰelʌl
Terril	테릴	tʰelil
terror	테러	tʰelʌ
terrorism	테러리즘	tʰelʌlid͡ɕɯm
Terry	테리	tʰeli
Tesla	테슬라	tʰesɯlla
TeslaUnread	테슬라언리드	tʰesɯllaʌllidɯ
test	테스트	tʰesɯtʰɯ
testosterone	테스토스테론	tʰesɯtʰosɯtʰelon
tethering	테더링	tʰedʌliŋ
Teton	티턴	tʰitʰʌn
Tetris	테트리스	tʰetʰɯlisɯ
Tewksbury	턱스베리	tʰʌks͈ɯbeli
Texarkana	텍사카나	tʰeks͈akʰana
Texas	텍사스	tʰeks͈asɯ
Texico	텍시코	tʰeks͈ikʰo
Texon	텍슨	tʰeks͈ɯn
text	텍스트	tʰeks͈ɯtʰɯ
Thackeray	새커리	sɛkʰʌli
Thackerville	새커빌	sɛkʰʌbil
Thackery	새커리	sɛkʰʌli
Thalia	탈리아	tʰallia
Thames	템스	tʰems͈ɯ
that	뎃	tet
Thatcher	태처	tʰɛt͡ɕʰʌ
Thaxton	택스턴	tʰɛks͈ɯtʰʌn
Thayer	세이어	seiʌ
Thayne	새인	sɛin
the	더	tʌ
Theba	테바	tʰeba
Thelma	셀마	selma
Theresa	테레사	tʰelesa
Thermal	더말	tʌmal
Thermalito	더말리토	tʌmallitʰo
Thermopolis	서모폴리스	sʌmopʰollisɯ
these	디즈	tid͡ɕɯ
Thessaloniki	테살로니키	tʰesallonikʰi
Thibodaux	티보도	tʰibodo
Thicket	티켓	tʰikʰet
Thira	티라	tʰila
this	디스	tisɯ
Thomas	토마스	tʰomasɯ
Thomastown	토마스타운	tʰomasɯtʰaun
Thomasville	토마스빌	tʰomasɯbil
Thompson	톰슨	tʰoms͈ɯn
Thomson	톰슨	tʰoms͈ɯn
Thor	소어	soʌ
thorium	토륨	tʰoljum
Thornapple	손애플	sonɛpʰɯl
Thornberry	손베리	sonbeli
Thornburg	손버그	sonbʌgɯ
Thorndale	손데일	sondeil
Thorndike	손다이크	sondaikʰɯ
Thorndon	손던	sondʌn
Thornfield	손필드	sonpʰildɯ
Thornhill	손힐	sonhil
Thornton	손턴	sontʰʌn
Thoroughfare	소로우페어	soloupʰeʌ
Thorp	소프	sopʰɯ
Thorsby	토스비	tʰosɯbi
Thread	스레드	sɯledɯ
thrill	스릴	sɯlil
Throckmorton	스록모턴	sɯloŋmotʰʌn
thrunet	두루넷	tulunet
thulium	툴륨	tʰulljum
Thunderbolt	선더볼트	sʌndʌboltʰɯ
Thurber	서버	sʌbʌ
Thurman	서먼	sʌmʌn
Thurston	서스턴	sʌsɯtʰʌn
Thyatira	사이어티라	saiʌtʰila
Tibbee	티비	tʰibi
Tibbie	티비	tʰibi
Tiburon	티뷰론	tʰibjulon
Tice	타이스	tʰaisɯ
ticket	티켓	tʰikʰet
Ticonderoga	타이콘데로가	tʰaikʰondeloga
Tide	타이드	tʰaidɯ
Tidewater	타이드워터	tʰaidɯwʌtʰʌ
Tieton	타이턴	tʰaitʰʌn
Tiff	티프	tʰipʰɯ
Tiffany	티파니	tʰipʰani
Tiffin	티핀	tʰipʰin
Tifton	티프턴	tʰipʰɯtʰʌn
Tigard	티가드	tʰigadɯ
Tiger	타이거	tʰaigʌ
Tijuana	티후아나	tʰihuana
Tikitiki	티키티키	tʰikʰitʰikʰi
Tilden	틸든	tʰildɯn
Tillamook	틸라무크	tʰillamukʰɯ
Tillar	틸라	tʰilla
Tillman	틸먼	tʰilmʌn
Tilton	틸턴	tʰiltʰʌn
Timaru	티마루	tʰimalu
Timberville	팀버빌	tʰimbʌbil
Timbo	팀보	tʰimbo
Timbuctoo	팀벅투	tʰimbʌktʰu
time	타임	tʰaim
Timken	팀켄	tʰimkʰen
Timmins	티민스	tʰimins͈ɯ
Tincup	틴컵	tʰinkʰʌp
Tindall	틴돌	tʰindol
Tingley	팅글리	tʰiŋgɯlli
Tinkertown	팅커타운	tʰiŋkʰʌtʰaun
Tinsley	틴슬리	tʰins͈ɯlli
Tintah	틴타	tʰintʰa
Tioga	티오가	tʰioga
Tionesta	티오네스타	tʰionesɯtʰa
tip	팁	tʰip
Tiplersville	티플러스빌	tʰipʰɯllʌsɯbil
Tippecanoe	티페카누	tʰipʰekʰanu
Tippo	팁포	tʰippʰo
Tipsaw	팁소	tʰips͈o
Tipton	팁턴	tʰiptʰʌn
Tiptop	팁탑	tʰiptʰap
Tira	티라	tʰila
Tirana	티라나	tʰilana
Tirau	티라우	tʰilau
tire	타이어	tʰaiʌ
Tiruchirappali	티추리라팔리	tʰit͡ɕʰulilapʰalli
Tisbury	티스베리	tʰisɯbeli
Tisdale	티스데일	tʰisɯdeil
Tison	타이슨	tʰaisɯn
titanium	티타늄	tʰitʰanjum
Titusville	타이터스빌	tʰaitʰʌsɯbil
Tiverton	티버턴	tʰibʌtʰʌn
Tivoli	티볼리	tʰibolli
Tizen	타이젠	tʰaid͡ɕen
Tlemcen	틀렘센	tʰɯllems͈en
tmon	티몬	tʰimon
toast	토스트	tʰosɯtʰɯ
Tobias	토비아스	tʰobiasɯ
Toccoa	토코아	tʰokʰoa
Tocsin	톡신	tʰoks͈in
today	투데이	tʰudei
todo	투두	tʰudu
Todoist	투두이스트	tʰuduisɯtʰɯ
Together	투게더	tʰugedʌ
Togiak	호지아크	hod͡ɕiakʰɯ
Togo	토고	tʰogo
Tokio	토키오	tʰokʰio
Tokoroa	토코로아	tʰokʰoloa
Tokushima	도쿠시마	tokʰusima
Tokyo	도쿄	tokʰjo
Tolchester	톨체스터	tʰolt͡ɕʰesɯtʰʌ
Toledo	토레도	tʰoledo
Tolland	톨랜드	tʰollɛndɯ
TollandRockville	톨랜드	tʰollɛndɯ
Tolleson	톨레슨	tʰollesɯn
Tollette	톨레트	tʰolletʰɯ
Tolley	톨리	tʰolli
Tollgate	톨게이트	tʰolgeitʰɯ
Tollhouse	톨하우스	tʰolhausɯ
Tolo	톨로	tʰollo
Tolstoy	톨스토이	tʰols͈ɯtʰoi
Tolu	톨루	tʰollu
Toluca	톨루카	tʰollukʰa
Tom	톰	tʰom
Tomah	토마	tʰoma
Tomahawk	토마호크	tʰomahokʰɯ
tomato	토마토	tʰomatʰo
Tomball	톰볼	tʰombol
Tombstone	툼스톤	tʰums͈ɯtʰon
Tomcat	톰캣	tʰomkʰɛt
Tompkins	톰킨스	tʰomkʰins͈ɯ
Tompkinsville	톰킨스빌	tʰomkʰins͈ɯbil
ton	톤	tʰon
Tonawanda	토나완다	tʰonawanda
Tonet	토네트	tʰonetʰɯ
Toney	토니	tʰoni
Tonganoxie	통가녹시	tʰoŋganoks͈i
Tonopah	토노파	tʰonopʰa
Tooele	투엘	tʰuel
Toone	툰	tʰun
Toowoomba	터움바	tʰʌumba
Topanga	토팡가	tʰopʰaŋga
Topeka	토피카	tʰopʰikʰa
topknot	톱놋	tʰomnot
Toppers	토퍼스	tʰopʰʌsɯ
Topsfield	탑스필드	tʰaps͈ɯpʰildɯ
Topsham	탑스햄	tʰaps͈ɯhɛm
Topsy	톱시	tʰops͈i
toronto	토론토	tʰolontʰo
Toronto	토론토	tʰolontʰo
Torrance	토런스	tʰolʌns͈ɯ
torrent	토렌트	tʰolentʰɯ
Torrent	토렌트	tʰolentʰɯ
Torreon	토레온	tʰoleon
Torrey	토리	tʰoli
Torrington	토링턴	tʰoliŋtʰʌn
toss	토스	tʰosɯ
Tottori	톳토리	tʰottʰoli
touch	터치	tʰʌt͡ɕʰi
touchwood	터치우드	tʰʌt͡ɕʰiudɯ
Toulon	툴롱	tʰulloŋ
tour	투어	tʰuʌ
Toutle	터틀	tʰʌtʰɯl
Towaco	토와코	tʰowakʰo
Towanda	토완다	tʰowanda
tower	타워	tʰawʌ
Tower	타워	tʰawʌ
Towner	타우너	tʰaunʌ
Townley	타운리	tʰaulli
Townsend	타운센드	tʰauns͈endɯ
Townshend	타운센드	tʰauns͈endɯ
Townsville	타운즈빌	tʰaund͡ɕɯbil
Towson	토슨	tʰosɯn
Toxey	톡시	tʰoks͈i
Toyah	토야	tʰoja
Toyama	토야마	tʰojama
Trabzon	트라브존	tʰɯlabɯd͡ɕon
trackball	트랙볼	tʰɯlɛkp͈ol
tractor	트랙터	tʰɯlɛktʰʌ
Tractor	트랙터	tʰɯlɛktʰʌ
Tracy	트레이시	tʰɯleisi
Tradersville	트레이더스빌	tʰɯleidʌsɯbil
Trafalgar	트라팰가	tʰɯlapʰɛlga
traffic	트래픽	tʰɯlɛpʰik
Trafford	트래퍼드	tʰɯlɛpʰʌdɯ
Trail	트레일	tʰɯleil
trailer	트레일러	tʰɯleillʌ
training	트레이닝	tʰɯleiniŋ
Tralee	트랠리	tʰɯlɛlli
Tranquil	트랜퀼	tʰɯlɛnkʰwil
transistor	트랜지스터	tʰɯlɛnd͡ɕisɯtʰʌ
translator	트랜슬레이터	tʰɯlɛns͈ɯlleitʰʌ
transmitter	도란스	tolans͈ɯ
Transylvania	트란실바니아	tʰɯlans͈ilbania
Trapp	트랩	tʰɯlɛp
Trappe	트랩	tʰɯlɛp
trash	트래쉬	tʰɯlɛswi
travel	트래블	tʰɯlɛbɯl
traveline	트래블라인	tʰɯlɛbɯllain
Traverse	트래블스	tʰɯlɛbɯls͈ɯ
Travis	트래비스	tʰɯlɛbisɯ
Travisville	트레비스빌	tʰɯlebisɯbil
Treadway	트레드웨이	tʰɯledɯwei
Treaty	트리티	tʰɯlitʰi
tree	트리	tʰɯli
Treece	트리스	tʰɯlisɯ
Trego	트레고	tʰɯlego
trello	트렐로	tʰɯlello
Treloar	트렐로아	tʰɯlelloa
Tremont	트레몬트	tʰɯlemontʰɯ
Tremonton	트레몬턴	tʰɯlemontʰʌn
trend	트렌드	tʰɯlendɯ
Trent	트렌트	tʰɯlentʰɯ
Trenton	트렌턴	tʰɯlentʰʌn
Trevor	트레버	tʰɯlebʌ
Treynor	트레이너	tʰɯleinʌ
Triadelphia	트라이델피아	tʰɯlaidelpʰia
trial	트라이얼	tʰɯlaiʌl
Triana	트리아나	tʰɯliana
Triangle	트라이앵글	tʰɯlaiɛŋgɯl
Tribbey	트리비	tʰɯlibi
Tribune	트리뷴	tʰɯlibjun
Trieste	트리에스테	tʰɯliesɯtʰe
trigger	트리거	tʰɯligʌ
Trilacoochee	트릴라쿠치	tʰɯlillakʰut͡ɕʰi
Trilby	트릴비	tʰɯlilbi
Trimble	트림블	tʰɯlimbɯl
Trinidad	트리니다드	tʰɯlinidadɯ
Trinity	트리니티	tʰɯlinitʰi
Trinway	트린웨이	tʰɯlinwei
Trion	트라이언	tʰɯlaiʌn
Triplett	트라이플레트	tʰɯlaipʰɯlletʰɯ
Tripp	트립	tʰɯlip
Triumph	트라이엄프	tʰɯlaiʌmpʰɯ
Trona	트로나	tʰɯlona
Trondheim	트론하임	tʰɯlonhaim
Tropic	트로픽	tʰɯlopʰik
Trosky	트로스키	tʰɯlosɯkʰi
Trotwood	트로트우드	tʰɯlotʰɯudɯ
Troup	트룹	tʰɯlup
Troupsburg	트룹스버그	tʰɯlups͈ɯbʌgɯ
Trousdale	트라우스데일	tʰɯlausɯdeil
Trout	트라우트	tʰɯlautʰɯ
Troutdale	트라우트데일	tʰɯlautʰɯdeil
Troutman	트라우트맨	tʰɯlautʰɯmɛn
Trowbridge	트로우브리지	tʰɯloubɯlid͡ɕi
Troy	트로이	tʰɯloi
truck	트럭	tʰɯlʌk
Truckee	트러키	tʰɯlʌkʰi
Trudie	트루디	tʰɯludi
True	트루	tʰɯlu
Truesdale	트루스데일	tʰɯlusɯdeil
truetype	트루타입	tʰɯlutʰaip
Truman	트루먼	tʰɯlumʌn
Trumann	트루먼	tʰɯlumʌn
Trumbull	트럼불	tʰɯlʌmbul
trunk	트렁크	tʰɯlʌŋkʰɯ
Truro	트루로	tʰɯlulo
Trussville	트러스빌	tʰɯlʌsɯbil
trust	트러스트	tʰɯlʌsɯtʰɯ
Truxton	트럭스턴	tʰɯlʌks͈ɯtʰʌn
try	트라이	tʰɯlai
Tryon	트라이언	tʰɯlaiʌn
Tualatin	투알라틴	tʰuallatʰin
Tucke	터크	tʰʌkʰɯ
Tuckerman	터커맨	tʰʌkʰʌmɛn
Tucumcari	투컴카리	tʰukʰʌmkʰali
Tukwila	투퀼라	tʰukʰwilla
Tulare	툴레어	tʰulleʌ
Tulelake	툴레이크	tʰulleikʰɯ
tulip	튜리프	tʰjulipʰɯ
Tull	툴	tʰul
Tullahoma	털러호마	tʰʌllʌhoma
Tully	툴리	tʰulli
